typeservice,namecdr,b_numerollamante,tarifa,b_numerollamado,fecha,hora,?,y,bytes,tecnología,importe
DAT,3CYDZ78T78,135403024,10 GB y llamadas ilimitadas,,09-05-2023,00:00:00,0,0,803209216,Datos 4G,93.4919
DAT,IILKWSTT1A,738970988,10 GB y llamadas ilimitadas,,17-05-2023,00:00:00,0,0,532676608,Datos 4G,89.668
DAT,D5AMM7UFRO,236893631,10 GB y llamadas ilimitadas,,08-05-2023,00:00:00,0,0,859832320,Datos 4G,13.404
DAT,5OKR1HK9E4,325309022,10 GB y llamadas ilimitadas,,04-05-2023,00:00:00,0,0,970981376,Datos 4G,23.9741
DAT,9DEH4TGZII,751531215,10 GB y llamadas ilimitadas,,26-05-2023,00:00:00,0,0,996147200,Datos 4G,52.7775
DAT,8T1ZW92TZD,857139812,10 GB y llamadas ilimitadas,,01-05-2023,00:00:00,0,0,222298112,Datos 4G,49.1859
DAT,5WTTQV9PNO,402182692,10 GB y llamadas ilimitadas,,26-05-2023,00:00:00,0,0,643825664,Datos 4G,92.234
DAT,S0N2485BPF,868287769,10 GB y llamadas ilimitadas,,04-05-2023,00:00:00,0,0,96468992,Datos 4G,9.5216
DAT,LW26B7US7H,509752384,10 GB y llamadas ilimitadas,,19-05-2023,00:00:00,0,0,184549376,Datos 4G,71.9381
DAT,YE69EK30YR,570898260,10 GB y llamadas ilimitadas,,26-05-2023,00:00:00,0,0,524288000,Datos 4G,13.4774
DAT,HYGB72JMEZ,462942967,10 GB y llamadas ilimitadas,,26-05-2023,00:00:00,0,0,603979776,Datos 4G,48.2286
DAT,5IYMGWE60E,858505702,10 GB y llamadas ilimitadas,,21-05-2023,00:00:00,0,0,997195776,Datos 4G,5.0015
DAT,7H3DI7FZRH,319282007,10 GB y llamadas ilimitadas,,30-05-2023,00:00:00,0,0,206569472,Datos 4G,42.5649
DAT,OO3LZQZ9M7,396856845,10 GB y llamadas ilimitadas,,10-05-2023,00:00:00,0,0,645922816,Datos 4G,64.8905
DAT,LA0QDRH7IV,493429765,10 GB y llamadas ilimitadas,,28-05-2023,00:00:00,0,0,486539264,Datos 4G,70.2685
DAT,570EMTEHIF,995419904,10 GB y llamadas ilimitadas,,05-05-2023,00:00:00,0,0,442499072,Datos 4G,12.0756
DAT,C15BEXKI8B,780151198,10 GB y llamadas ilimitadas,,02-05-2023,00:00:00,0,0,924844032,Datos 4G,24.2046
DAT,38TTXF6BXJ,907048714,10 GB y llamadas ilimitadas,,20-05-2023,00:00:00,0,0,493879296,Datos 4G,64.7899
DAT,F3JTF55LUP,670844382,10 GB y llamadas ilimitadas,,25-05-2023,00:00:00,0,0,144703488,Datos 4G,59.071
DAT,2E5XXP3W7T,366098962,10 GB y llamadas ilimitadas,,14-05-2023,00:00:00,0,0,676331520,Datos 4G,29.2384
DAT,UC9LK8QT35,819314828,10 GB y llamadas ilimitadas,,14-05-2023,00:00:00,0,0,409993216,Datos 4G,49.1759
DAT,IBNP8TFDVI,592604637,10 GB y llamadas ilimitadas,,25-05-2023,00:00:00,0,0,283115520,Datos 4G,42.6537
DAT,5DF8NG0GE3,431116057,10 GB y llamadas ilimitadas,,18-05-2023,00:00:00,0,0,607125504,Datos 4G,19.4271
DAT,JNK2P1UY6U,291147397,10 GB y llamadas ilimitadas,,20-05-2023,00:00:00,0,0,238026752,Datos 4G,98.4145
DAT,TGRNWH9F60,838658039,10 GB y llamadas ilimitadas,,15-05-2023,00:00:00,0,0,705691648,Datos 4G,43.722
DAT,304YDYZ6F8,337827505,10 GB y llamadas ilimitadas,,17-05-2023,00:00:00,0,0,751828992,Datos 4G,36.6835
DAT,MQS4W0OUBX,882835320,10 GB y llamadas ilimitadas,,13-05-2023,00:00:00,0,0,967835648,Datos 4G,34.8255
DAT,HCT10X65GU,843104367,10 GB y llamadas ilimitadas,,30-05-2023,00:00:00,0,0,860880896,Datos 4G,42.6681
DAT,0I6G4WE74H,836407610,10 GB y llamadas ilimitadas,,14-05-2023,00:00:00,0,0,534773760,Datos 4G,34.9431
DAT,ZFCCDJKL5F,259313343,10 GB y llamadas ilimitadas,,29-05-2023,00:00:00,0,0,980418560,Datos 4G,79.7443
